Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
25729.785,-0.23673747,0.033469178,0.7226846,0.19941124,-0.22713856,0.085386746,-0.11847311,0.06097646,0.21041298,-0.08007763,0.42607686,-0.4581158,0.25029734,0.23633091,0.093152754,-0.017030386,0.15533845,-0.094271556,-0.03800336,0.047783345,-0.031393915,-0.11697202,-0.04315075,0.0028103758,0.1290491,0.011086502,0.0006007175,0.0039207805,85.397644
25803.65,-0.2395233,0.02959694,0.73033077,0.19944508,-0.22394653,0.08642376,-0.119172424,0.062953845,0.21013808,-0.08133573,0.4247875,-0.45837152,0.24796759,0.23563027,0.09314168,-0.018136399,0.15599948,-0.09416408,-0.040074516,0.047190126,-0.03252736,-0.116408646,-0.045094687,0.00019910798,0.12621233,0.009652773,-0.0016520219,0.0037631977,84.45628
25779.215,-0.24255887,0.030688087,0.728885,0.19963822,-0.22203784,0.0867968,-0.11840344,0.061992273,0.211066,-0.07961947,0.42543077,-0.45671025,0.2497546,0.23598665,0.09108338,-0.016720437,0.15716656,-0.09538169,-0.04034903,0.0479693,-0.03176969,-0.117256396,-0.044197813,0.0025101383,0.12609565,0.0090832515,-0.0014105216,0.0043207435,84.111626
25739.521,-0.23714985,0.033401936,0.72526926,0.1978183,-0.22363272,0.086083665,-0.12125523,0.062285352,0.20478646,-0.081328765,0.4269738,-0.45751464,0.25121868,0.23432277,0.09287575,-0.019145638,0.15475844,-0.095087245,-0.040281124,0.046315063,-0.03092762,-0.11620136,-0.04315616,0.0011747563,0.12824011,0.010773433,-0.0014623441,0.0048067467,84.10504
25748.389,-0.23693322,0.034156993,0.7266866,0.1953569,-0.22246939,0.08634253,-0.119353116,0.059923805,0.2065939,-0.07721109,0.42678547,-0.45889747,0.24719822,0.23604752,0.09563174,-0.016338715,0.15446228,-0.09523502,-0.038507342,0.046812408,-0.032532606,-0.11622263,-0.043356404,0.0024607475,0.12784028,0.011986906,0.0001037782,0.004544801,84.373184
25774.645,-0.24387512,0.028369261,0.7293743,0.2003438,-0.22042488,0.0831747,-0.118218146,0.063487,0.21052997,-0.08108195,0.4263406,-0.4567765,0.24994709,0.23621024,0.09131384,-0.017847128,0.15779376,-0.09621903,-0.039929993,0.04787819,-0.03356289,-0.117419116,-0.04491478,0.00077441946,0.12662135,0.008006702,-0.0015559997,0.0041156756,83.658585
25771.297,-0.23808248,0.03243188,0.7274791,0.19852166,-0.22413327,0.08904883,-0.11864464,0.05774587,0.2096669,-0.07879967,0.42597556,-0.4583406,0.24694857,0.23312408,0.093802765,-0.018247461,0.1544428,-0.09482246,-0.038816378,0.048820645,-0.029952977,-0.11640427,-0.043093674,0.0015744739,0.12770793,0.01223909,-0.0010010526,0.004242708,85.13308
25758.436,-0.23962006,0.029630216,0.7285198,0.20264415,-0.2239933,0.086148374,-0.118607126,0.062087215,0.20907934,-0.08304025,0.42626277,-0.45846844,0.2507772,0.23657693,0.0930381,-0.018613322,0.15524867,-0.096073516,-0.03910027,0.047965538,-0.033416804,-0.1165134,-0.04498252,0.0011495505,0.12736225,0.01026935,-0.0008504987,0.003092078,85.295845
25764.924,-0.24525459,0.032829974,0.7309226,0.2010123,-0.21977217,0.08549811,-0.11932939,0.062820256,0.20885009,-0.08102055,0.4285893,-0.45655528,0.24944122,0.23547964,0.09167291,-0.017159346,0.15753303,-0.09484148,-0.040938687,0.04684641,-0.032162532,-0.1173174,-0.044003595,0.0009173435,0.12631454,0.008148934,-0.0026633665,0.0043732403,83.23862
25772.53,-0.23424385,0.03306096,0.7263694,0.19956703,-0.22715297,0.08710822,-0.118645914,0.061318416,0.20732553,-0.0799286,0.42378432,-0.4561327,0.24758412,0.23412392,0.09232148,-0.018049272,0.15625396,-0.09442989,-0.040255282,0.04637821,-0.031201908,-0.11585853,-0.045532595,0.0008189511,0.12802087,0.010631576,-0.00088112615,0.0039818524,84.61803
